Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,"2.00% crediting rate andmaximum charges","4.00% alternative crediting rate andcurrent charges",,,
,,,,"Surrendervalue","Deathbenefit","Cashvalue","Surrendervalue","Deathbenefit"
21,65.0,"$10,000","$10,000","$181,193","$332,641 #","$293,620","$293,620","$445,068 #"
22,66.0,$0,"($32,292)","$149,089","$183,700","$306,592","$273,518","$331,771"
23,67.0,$0,"($32,292)","$115,583","$148,563","$320,175","$252,539","$310,170"
24,68.0,$0,"($32,292)","$80,511","$111,836","$334,324","$230,571","$287,406"
25,69.0,$0,"($32,292)","$43,808","$73,456","$349,057","$207,561","$263,410"
,,"$209,999","$80,831",,,,,
26,70.0,$0,"($32,292)","$5,396","$33,346","$364,398","$183,460","$238,120"
27,71.0,$0,"($32,292)",$0,$0,"$380,445","$158,291","$207,749"
28,72.0,$0,"($32,292)",$0,$0,"$397,246","$132,022","$175,719"
29,73.0,$0,"($32,292)",$0,$0,"$414,856","$104,623","$141,960"
30,74.0,$0,"($32,292)",$0,$0,"$433,336","$76,069","$106,402"
,,"$209,999","($80,629)",,,,,
31,75.0,$0,"($32,292)",$0,$0,"$452,760","$46,342","$68,980"
32,76.0,$0,"($32,292)",$0,$0,"$473,013","$15,232","$38,883"
33,77.0,$0,"($32,292)",$0,$0,$0,$0,$0
34,78.0,$0,"($32,292)",$0,$0,$0,$0,$0
35,79.0,$0,"($32,292)",$0,$0,$0,$0,$0
,,"$209,999","($242,089)",,,,,
36,80.0,$0,"($32,292)",$0,$0,$0,$0,$0
37,81.0,$0,"($32,292)",$0,$0,$0,$0,$0
38,82.0,$0,"($32,292)",$0,$0,$0,$0,$0
39,83.0,$0,"($32,292)",$0,$0,$0,$0,$0
40,84.0,$0,"($32,292)",$0,$0,$0,$0,$0
"$209,999($403,549)",,,,,,,,
